ts,date,hour,endpoint,anycast_likely,ttl,primary_ip,ip_count
2026-06-04 06:01:17.026582+00:00,2026-06-04,6,api.groq.com,False,300,172.64.149.20,2
2026-06-04 06:01:23.335718+00:00,2026-06-04,6,api.mistral.ai,False,88,172.66.2.203,2
2026-06-04 06:01:28.319795+00:00,2026-06-04,6,api.deepgram.com,True,10,38.104.135.212,3
2026-06-04 06:01:37.124286+00:00,2026-06-04,6,api.openai.com,False,42,162.159.140.245,2
2026-06-04 06:01:41.125232+00:00,2026-06-04,6,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-04 12:01:04.315900+00:00,2026-06-04,12,api.deepgram.com,True,10,216.200.21.204,2
2026-06-04 12:01:08.651675+00:00,2026-06-04,12,api.rev.ai,False,60,54.201.77.26,3
2026-06-04 12:01:11.990283+00:00,2026-06-04,12,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-04 12:01:14.427519+00:00,2026-06-04,12,api.openai.com,False,28,172.66.0.243,2
2026-06-04 12:01:21.792877+00:00,2026-06-04,12,api.groq.com,False,281,172.64.149.20,2
2026-06-04 12:01:24.633212+00:00,2026-06-04,12,api.mistral.ai,False,300,162.159.142.207,2
2026-06-04 12:01:31.951489+00:00,2026-06-04,12,api.deepgram.com,True,10,66.103.225.60,3
2026-06-04 12:01:38.836561+00:00,2026-06-04,12,api.openai.com,False,9,162.159.140.245,2
2026-06-04 12:01:40.867621+00:00,2026-06-04,12,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-04 18:01:02.493412+00:00,2026-06-04,18,api.deepgram.com,True,10,66.103.225.58,3
2026-06-04 18:01:04.024565+00:00,2026-06-04,18,api.rev.ai,False,60,44.255.232.246,3
2026-06-04 18:01:07.937260+00:00,2026-06-04,18,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-04 18:01:10.667875+00:00,2026-06-04,18,api.openai.com,False,44,162.159.140.245,2
2026-06-04 18:01:15.268939+00:00,2026-06-04,18,api.groq.com,False,300,104.18.38.236,2
2026-06-04 18:01:22.403726+00:00,2026-06-04,18,api.mistral.ai,False,228,172.66.2.203,2
2026-06-04 18:01:31.330071+00:00,2026-06-04,18,api.deepgram.com,True,10,38.104.135.212,3
2026-06-04 18:01:35.033907+00:00,2026-06-04,18,api.openai.com,False,42,162.159.140.245,2
2026-06-04 18:01:38.330778+00:00,2026-06-04,18,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-05 00:01:03.679284+00:00,2026-06-05,0,api.deepgram.com,True,10,66.103.225.60,3
2026-06-05 00:01:09.584652+00:00,2026-06-05,0,api.rev.ai,False,60,54.69.164.121,3
2026-06-05 00:01:18.162606+00:00,2026-06-05,0,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-05 00:01:23.380518+00:00,2026-06-05,0,api.openai.com,False,49,162.159.140.245,2
2026-06-05 00:01:30.984945+00:00,2026-06-05,0,api.groq.com,False,21,104.18.38.236,2
2026-06-05 00:01:38.473611+00:00,2026-06-05,0,api.mistral.ai,False,290,162.159.142.207,2
2026-06-05 00:01:43.150648+00:00,2026-06-05,0,api.deepgram.com,True,1,66.103.225.58,2
2026-06-05 00:01:52.065886+00:00,2026-06-05,0,api.openai.com,False,24,172.66.0.243,2
2026-06-05 00:01:54.375088+00:00,2026-06-05,0,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-05 05:31:03.632815+00:00,2026-06-05,5,api.deepgram.com,True,10,208.184.56.200,2
2026-06-05 05:31:19.286568+00:00,2026-06-05,5,api.rev.ai,False,60,44.255.232.246,3
2026-06-05 05:31:33.019268+00:00,2026-06-05,5,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-05 05:31:58.694969+00:00,2026-06-05,5,api.openai.com,False,39,172.66.0.243,2
2026-06-05 05:32:12.741613+00:00,2026-06-05,5,api.groq.com,False,126,172.64.149.20,2
2026-06-05 05:32:24.141265+00:00,2026-06-05,5,api.mistral.ai,False,66,162.159.142.207,2
2026-06-05 05:32:34.944054+00:00,2026-06-05,5,api.deepgram.com,True,1,38.246.42.148,3
2026-06-05 05:32:56.699373+00:00,2026-06-05,5,api.openai.com,False,53,172.66.0.243,2
2026-06-05 05:33:31.174574+00:00,2026-06-05,5,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-05 06:01:02.575021+00:00,2026-06-05,6,api.deepgram.com,True,10,216.200.21.202,2
2026-06-05 06:01:04.699994+00:00,2026-06-05,6,api.rev.ai,False,60,44.255.232.246,3
2026-06-05 06:01:08.089911+00:00,2026-06-05,6,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-05 06:01:09.499636+00:00,2026-06-05,6,api.openai.com,False,46,162.159.140.245,2
2026-06-05 06:01:15.025753+00:00,2026-06-05,6,api.groq.com,False,255,172.64.149.20,2
2026-06-05 06:01:20.977512+00:00,2026-06-05,6,api.mistral.ai,False,300,172.66.2.203,2
2026-06-05 06:01:26.044909+00:00,2026-06-05,6,api.deepgram.com,True,10,216.200.21.204,3
2026-06-05 06:01:28.729718+00:00,2026-06-05,6,api.openai.com,False,53,172.66.0.243,2
2026-06-05 06:01:34.818181+00:00,2026-06-05,6,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-05 12:01:02.559458+00:00,2026-06-05,12,api.deepgram.com,True,10,38.104.135.212,2
2026-06-05 12:01:05.836617+00:00,2026-06-05,12,api.rev.ai,False,60,44.255.232.246,3
2026-06-05 12:01:11.464657+00:00,2026-06-05,12,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-05 12:01:17.664247+00:00,2026-06-05,12,api.openai.com,False,15,172.66.0.243,2
2026-06-05 12:01:20.301218+00:00,2026-06-05,12,api.groq.com,False,40,104.18.38.236,2
2026-06-05 12:01:26.682761+00:00,2026-06-05,12,api.mistral.ai,False,247,172.66.2.203,2
2026-06-05 12:01:33.378995+00:00,2026-06-05,12,api.deepgram.com,True,10,216.200.21.202,3
2026-06-05 12:01:35.819110+00:00,2026-06-05,12,api.openai.com,False,41,172.66.0.243,2
2026-06-05 12:01:40.852589+00:00,2026-06-05,12,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-05 18:01:03.161304+00:00,2026-06-05,18,api.deepgram.com,True,1,38.246.42.148,3
2026-06-05 18:01:10.798826+00:00,2026-06-05,18,api.rev.ai,False,60,54.71.42.79,3
2026-06-05 18:01:14.282916+00:00,2026-06-05,18,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-05 18:01:21.367754+00:00,2026-06-05,18,api.openai.com,False,6,162.159.140.245,2
2026-06-05 18:01:28.787800+00:00,2026-06-05,18,api.groq.com,False,126,172.64.149.20,2
2026-06-05 18:01:32.913863+00:00,2026-06-05,18,api.mistral.ai,False,99,162.159.142.207,2
2026-06-05 18:01:41.479101+00:00,2026-06-05,18,api.deepgram.com,True,10,38.104.135.212,3
2026-06-05 18:01:48.823340+00:00,2026-06-05,18,api.openai.com,False,28,172.66.0.243,2
2026-06-05 18:01:53.900109+00:00,2026-06-05,18,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-06 00:01:03.770980+00:00,2026-06-06,0,api.deepgram.com,True,10,208.184.56.200,2
2026-06-06 00:01:05.321944+00:00,2026-06-06,0,api.rev.ai,False,60,44.242.29.250,3
2026-06-06 00:01:08.039316+00:00,2026-06-06,0,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-06 00:01:16.823993+00:00,2026-06-06,0,api.openai.com,False,34,162.159.140.245,2
2026-06-06 00:01:20.478903+00:00,2026-06-06,0,api.groq.com,False,300,104.18.38.236,2
2026-06-06 00:01:23.374474+00:00,2026-06-06,0,api.mistral.ai,False,223,172.66.2.203,2
2026-06-06 00:01:30.867426+00:00,2026-06-06,0,api.deepgram.com,True,5,208.184.56.200,2
2026-06-06 00:01:39.814278+00:00,2026-06-06,0,api.openai.com,False,24,172.66.0.243,2
2026-06-06 00:01:42.381332+00:00,2026-06-06,0,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-06 05:31:03.332104+00:00,2026-06-06,5,api.deepgram.com,True,10,66.103.225.59,2
2026-06-06 05:31:27.093515+00:00,2026-06-06,5,api.rev.ai,False,60,54.71.42.79,3
2026-06-06 05:31:59.903296+00:00,2026-06-06,5,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-06 05:32:22.490882+00:00,2026-06-06,5,api.openai.com,False,17,162.159.140.245,2
2026-06-06 05:32:46.492754+00:00,2026-06-06,5,api.groq.com,False,300,104.18.38.236,2
2026-06-06 05:33:14.533485+00:00,2026-06-06,5,api.mistral.ai,False,36,162.159.142.207,2
2026-06-06 05:33:37.250331+00:00,2026-06-06,5,api.deepgram.com,True,10,66.103.225.59,3
2026-06-06 05:34:00.888550+00:00,2026-06-06,5,api.openai.com,False,17,162.159.140.245,2
2026-06-06 05:34:15.228191+00:00,2026-06-06,5,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-06 06:01:04.023983+00:00,2026-06-06,6,api.deepgram.com,True,10,208.184.56.200,3
2026-06-06 06:01:11.193870+00:00,2026-06-06,6,api.rev.ai,False,60,54.69.164.121,3
2026-06-06 06:01:18.239350+00:00,2026-06-06,6,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-06 06:01:22.921617+00:00,2026-06-06,6,api.openai.com,False,5,162.159.140.245,2
2026-06-06 06:01:24.499874+00:00,2026-06-06,6,api.groq.com,False,255,172.64.149.20,2
2026-06-06 06:01:26.680524+00:00,2026-06-06,6,api.mistral.ai,False,300,172.66.2.203,2
2026-06-06 06:01:32.785062+00:00,2026-06-06,6,api.deepgram.com,True,10,216.200.21.204,3
2026-06-06 06:01:39.363430+00:00,2026-06-06,6,api.openai.com,False,15,172.66.0.243,2
2026-06-06 06:01:40.601192+00:00,2026-06-06,6,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-06 12:01:03.820904+00:00,2026-06-06,12,api.deepgram.com,True,9,66.103.225.59,2
2026-06-06 12:01:07.522888+00:00,2026-06-06,12,api.rev.ai,False,60,54.69.164.121,3
2026-06-06 12:01:08.818388+00:00,2026-06-06,12,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-06 12:01:15.140016+00:00,2026-06-06,12,api.openai.com,False,40,172.66.0.243,2
2026-06-06 12:01:19.346492+00:00,2026-06-06,12,api.groq.com,False,63,104.18.38.236,2
2026-06-06 12:01:24.908437+00:00,2026-06-06,12,api.mistral.ai,False,91,172.66.2.203,2
2026-06-06 12:01:32.730360+00:00,2026-06-06,12,api.deepgram.com,True,10,216.200.21.202,3
2026-06-06 12:01:37.609781+00:00,2026-06-06,12,api.openai.com,False,7,162.159.140.245,2
2026-06-06 12:01:40.913012+00:00,2026-06-06,12,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-06 18:01:03.192623+00:00,2026-06-06,18,api.deepgram.com,True,10,38.104.135.212,2
2026-06-06 18:01:12.030162+00:00,2026-06-06,18,api.rev.ai,False,60,100.22.108.35,3
2026-06-06 18:01:13.236834+00:00,2026-06-06,18,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-06 18:01:19.930423+00:00,2026-06-06,18,api.openai.com,False,8,172.66.0.243,2
2026-06-06 18:01:23.654338+00:00,2026-06-06,18,api.groq.com,False,45,104.18.38.236,2
2026-06-06 18:01:26.808533+00:00,2026-06-06,18,api.mistral.ai,False,290,162.159.142.207,2
2026-06-06 18:01:29.445926+00:00,2026-06-06,18,api.deepgram.com,True,10,38.104.135.212,3
2026-06-06 18:01:36.369947+00:00,2026-06-06,18,api.openai.com,False,9,162.159.140.245,2
2026-06-06 18:01:44.235601+00:00,2026-06-06,18,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-07 00:01:02.549310+00:00,2026-06-07,0,api.deepgram.com,True,10,38.104.135.212,2
2026-06-07 00:01:10.790969+00:00,2026-06-07,0,api.rev.ai,False,60,44.242.29.250,3
2026-06-07 00:01:15.074675+00:00,2026-06-07,0,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-07 00:01:18.811375+00:00,2026-06-07,0,api.openai.com,False,43,162.159.140.245,2
2026-06-07 00:01:24.964640+00:00,2026-06-07,0,api.groq.com,False,260,172.64.149.20,2
2026-06-07 00:01:27.603910+00:00,2026-06-07,0,api.mistral.ai,False,91,172.66.2.203,2
2026-06-07 00:01:28.703773+00:00,2026-06-07,0,api.deepgram.com,True,10,38.104.135.212,3
2026-06-07 00:01:32.158899+00:00,2026-06-07,0,api.openai.com,False,24,172.66.0.243,2
2026-06-07 00:01:40.423230+00:00,2026-06-07,0,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-07 05:31:03.167834+00:00,2026-06-07,5,api.deepgram.com,True,10,66.103.225.60,2
2026-06-07 05:31:17.244391+00:00,2026-06-07,5,api.rev.ai,False,60,54.69.164.121,3
2026-06-07 05:31:29.699641+00:00,2026-06-07,5,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-07 05:32:01.365026+00:00,2026-06-07,5,api.openai.com,False,53,172.66.0.243,2
2026-06-07 05:32:21.557206+00:00,2026-06-07,5,api.groq.com,False,300,104.18.38.236,2
2026-06-07 05:32:34.799820+00:00,2026-06-07,5,api.mistral.ai,False,66,162.159.142.207,2
2026-06-07 05:32:54.253779+00:00,2026-06-07,5,api.deepgram.com,True,10,216.200.21.202,2
2026-06-07 05:33:01.719936+00:00,2026-06-07,5,api.openai.com,False,9,162.159.140.245,2
2026-06-07 05:33:15.140007+00:00,2026-06-07,5,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-07 06:01:03.212766+00:00,2026-06-07,6,api.deepgram.com,True,10,66.103.225.60,3
2026-06-07 06:01:09.191326+00:00,2026-06-07,6,api.rev.ai,False,60,54.69.164.121,3
2026-06-07 06:01:12.938941+00:00,2026-06-07,6,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-07 06:01:20.647957+00:00,2026-06-07,6,api.openai.com,False,41,172.66.0.243,2
2026-06-07 06:01:21.650543+00:00,2026-06-07,6,api.groq.com,False,233,104.18.38.236,2
2026-06-07 06:01:24.899861+00:00,2026-06-07,6,api.mistral.ai,False,120,172.66.2.203,2
2026-06-07 06:01:25.946733+00:00,2026-06-07,6,api.deepgram.com,True,5,208.184.56.200,2
2026-06-07 06:01:30.465233+00:00,2026-06-07,6,api.openai.com,False,58,162.159.140.245,2
2026-06-07 06:01:34.484997+00:00,2026-06-07,6,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-07 12:01:03.508299+00:00,2026-06-07,12,api.deepgram.com,True,10,208.184.56.200,2
2026-06-07 12:01:10.802557+00:00,2026-06-07,12,api.rev.ai,False,60,35.167.255.151,3
2026-06-07 12:01:19.699901+00:00,2026-06-07,12,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-07 12:01:20.816585+00:00,2026-06-07,12,api.openai.com,False,58,162.159.140.245,2
2026-06-07 12:01:22.482355+00:00,2026-06-07,12,api.groq.com,False,200,172.64.149.20,2
2026-06-07 12:01:26.967302+00:00,2026-06-07,12,api.mistral.ai,False,120,172.66.2.203,2
2026-06-07 12:01:28.270714+00:00,2026-06-07,12,api.deepgram.com,True,10,38.104.135.212,2
2026-06-07 12:01:32.396480+00:00,2026-06-07,12,api.openai.com,False,26,172.66.0.243,2
2026-06-07 12:01:40.972331+00:00,2026-06-07,12,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-07 18:01:03.565004+00:00,2026-06-07,18,api.deepgram.com,True,1,38.246.42.148,3
2026-06-07 18:01:07.940437+00:00,2026-06-07,18,api.rev.ai,False,60,54.71.42.79,3
2026-06-07 18:01:14.119190+00:00,2026-06-07,18,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-07 18:01:17.222818+00:00,2026-06-07,18,api.openai.com,False,26,172.66.0.243,2
2026-06-07 18:01:20.730798+00:00,2026-06-07,18,api.groq.com,False,45,104.18.38.236,2
2026-06-07 18:01:25.640168+00:00,2026-06-07,18,api.mistral.ai,False,265,162.159.142.207,2
2026-06-07 18:01:33.105398+00:00,2026-06-07,18,api.deepgram.com,True,10,66.103.225.60,2
2026-06-07 18:01:35.380102+00:00,2026-06-07,18,api.openai.com,False,49,162.159.140.245,2
2026-06-07 18:01:43.928578+00:00,2026-06-07,18,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
